Id,proba_class_0,proba_class_1,proba_class_2,proba_class_3,proba_class_4,proba_class_5
0,0.018587840307881087,0.014477716839286536,0.48384784684719606,0.46481585998088537,0.014702825882955881,0.0035679101417954388
1,0.02637484801606724,0.01400922450916972,0.6531978760755266,0.2958998460337036,0.009804631547720532,0.000713573817813015
2,0.03788898255707005,0.01605117406399081,0.6534944755075649,0.2861849497924667,0.004956441768236952,0.0014239763106707632
3,0.03270495348308924,0.029457762520526183,0.4267517781173865,0.5075613185292506,0.0035241873497475593,0.0
4,0.30225003745095785,0.1020105775944227,0.31513849638343755,0.2618933961101776,0.01870749246100466,0.0
5,0.03921432939424416,0.031448451690826815,0.6179419544558884,0.30220640931804105,0.009188855141000804,0.0
6,0.01818169475772553,0.02947622546787448,0.7298061078393141,0.21417395282213286,0.00836201911295409,0.0
7,0.026468115056181324,0.02865922437935565,0.47322414362786375,0.45763093256454485,0.014017584372054416,0.0
8,0.021461592519246193,0.016314817121743794,0.7158807400718985,0.24073362755212932,0.005609222734982477,0.0
9,0.03975685648649702,0.019420476633434245,0.6434698611391553,0.27989722571509335,0.016742529318282646,0.0007130507075384698
10,0.035153756072947365,0.024392978930785632,0.6272360641491517,0.3075421415550938,0.004963573323593881,0.0007114859684281406
11,0.02242195213446971,0.021276264726457553,0.5304417997237999,0.4209920652683717,0.004867918146901063,0.0
12,0.03521076964910377,0.02340797505997193,0.6280827568234294,0.31048037864984224,0.0028181198176540456,0.0
13,0.018970481714368416,0.02153114908225994,0.7604335304778973,0.1906325311943667,0.008432307531108246,0.0
14,0.06819178255222295,0.1436202105766417,0.2744436544231025,0.5039494268311295,0.00551745165678588,0.004277473960116792
15,0.0460152109237167,0.10748602614261876,0.32331514071631445,0.5100285016792688,0.013155120538080569,0.0
16,0.05242256027257381,0.06961008544004199,0.30994543654240186,0.5546731656022502,0.011922574876181433,0.001426177266550542
17,0.03967385628555901,0.02026697072080305,0.6761834372066345,0.2596937383135731,0.0034701578136061427,0.0007118396598238859
18,0.05358285028961672,0.04109348734314942,0.42671557342820765,0.45555138483244345,0.018784317447861163,0.004272386658721793
19,0.034819782094629374,0.031297736819926224,0.58416042557887,0.33985641792280386,0.009152399409129907,0.0007132381746406437
