Id,proba_class_0,proba_class_1,proba_class_2,proba_class_3,proba_class_4,proba_class_5
0,0.0026487664,5.6128607e-05,0.008073048,0.988867,0.00033518352,1.9897108e-05
1,0.00017822643,0.00010840011,0.9308633,0.06864535,0.00020239835,2.370918e-06
2,0.00040455273,0.00017240869,0.92635036,0.07300962,6.0620612e-05,2.421118e-06
3,0.0010060465,0.00053284963,0.018563248,0.9795125,0.00030667195,7.866041e-05
4,0.972051,0.000158789,0.0028534508,0.024567038,0.00035612902,1.3521606e-05
5,0.0004371143,0.00019914312,0.9030341,0.09584782,0.000477485,4.306265e-06
6,0.0062366934,0.0001493029,0.89517146,0.09758322,0.00084501,1.41498695e-05
7,0.00016144726,0.00011169802,0.0649971,0.93436205,0.00036462644,2.9771709e-06
8,0.001136007,0.00017496673,0.9123327,0.085582204,0.0007408375,3.3299555e-05
9,0.0004433827,0.00019582121,0.92554647,0.07311782,0.0006934908,3.0672354e-06
10,0.000332666,8.129684e-05,0.88415545,0.114618234,0.0008073688,4.9419723e-06
11,7.897204e-05,0.00011543249,0.1658904,0.8337549,0.00014758931,1.2724832e-05
12,0.0016070527,4.31788e-05,0.96159756,0.036199108,0.0005226308,3.0530766e-05
13,0.0019496048,5.17105e-05,0.9725929,0.025137061,0.000102868915,0.00016597063
14,0.00025920683,0.0017251443,0.048493255,0.9494301,8.34327e-05,8.8311845e-06
15,7.286182e-05,0.0011750613,0.024547748,0.9735328,0.0006681345,3.3615156e-06
16,0.00017415002,0.015300561,0.026258875,0.9576184,0.00056830014,7.9625155e-05
17,5.12587e-05,5.089498e-05,0.9591093,0.0405662,0.00021014984,1.2277696e-05
18,0.00012730554,0.0004854129,0.02579487,0.97225505,0.0013311442,6.246972e-06
19,6.709557e-05,4.7542275e-05,0.92864084,0.07087443,0.0003512942,1.8688554e-05
20,0.00041396983,0.00092927745,0.87375915,0.12347721,0.0013879137,3.240932e-05
21,0.001035149,3.79286e-05,0.09924299,0.896865,0.0027886683,3.0239285e-05
22,0.00018524568,0.0024352234,0.044552904,0.95198756,0.00082935573,9.6068125e-06
23,3.0144407e-05,0.0006074858,0.01618894,0.9830493,0.000118184464,6.0516236e-06
24,0.0013388104,0.00024582562,0.8739967,0.12431863,8.366539e-05,1.63305e-05
25,0.00032455125,0.00015545542,0.24838567,0.7484778,0.002637939,1.8532553e-05
26,7.532573e-05,0.0014927009,0.019279461,0.9790452,9.666242e-05,1.0781175e-05
27,0.00038005484,0.00021971196,0.9098749,0.0892767,0.00021416356,3.4543053e-05
28,0.0020201053,0.00041095173,0.10575504,0.8906508,0.0010940621,6.911118e-05
29,7.7085395e-05,9.7728815e-05,0.057108216,0.9425697,0.00014290084,4.3534537e-06
30,9.267093e-05,9.182401e-05,0.103686996,0.8960202,0.00010083403,7.4523887e-06
31,0.0003713575,0.00056098425,0.8313336,0.16762349,0.00010545764,5.140083e-06
32,0.0002154612,0.001146794,0.10244888,0.89589787,0.00024431117,4.6669375e-05
33,0.0003249402,0.00016010368,0.93456537,0.06479845,0.000117497286,3.368737e-05
34,6.2519466e-05,5.8956924e-05,0.9215114,0.07833499,2.9263554e-05,2.8903416e-06
35,0.0011328724,0.0001320437,0.10028543,0.8980484,0.00038507197,1.614722e-05
36,0.014367138,0.75231177,0.073153555,0.15731904,0.0018131577,0.0010352774
37,0.0017106398,9.412999e-05,0.03273984,0.9642823,0.0011380039,3.5063716e-05
38,0.0033924624,0.7648887,0.13384913,0.096057355,0.0017108527,0.00010158314
39,5.8822723e-05,0.0009513827,0.044848625,0.9536897,0.00044826342,3.2145672e-06
40,0.00044824314,0.00027832168,0.11081087,0.88839626,4.0351053e-05,2.5970094e-05
41,2.3746165e-05,8.4734376e-05,0.031265177,0.9685761,4.3634827e-05,6.5284016e-06
